location,location_name,date,orig_obs,issue_date,real_diff,relative_diff_orig_base,relative_diff_revised_base
26,Michigan,2020-05-02,866,2020-07-26,19,0.021939953810623556,0.021468926553672316
26,Michigan,2020-05-09,509,2020-07-26,24,0.047151277013752456,0.0450281425891182
26,Michigan,2020-05-16,351,2020-07-26,6,0.017094017094017096,0.01680672268907563
26,Michigan,2020-05-23,342,2020-07-26,4,0.011695906432748537,0.011560693641618497
26,Michigan,2020-05-30,241,2020-07-26,3,0.012448132780082987,0.012295081967213115
26,Michigan,2020-06-06,149,2020-07-26,63,0.4228187919463087,0.2971698113207547
29,Missouri,2020-03-28,7,2020-07-26,3,0.42857142857142855,0.3
29,Missouri,2020-04-04,23,2020-07-26,15,0.6521739130434783,0.39473684210526316
29,Missouri,2020-04-11,83,2020-07-26,11,0.13253012048192772,0.11702127659574468
29,Missouri,2020-04-18,81,2020-07-26,10,0.12345679012345678,0.10989010989010989
29,Missouri,2020-04-25,84,2020-07-26,37,0.44047619047619047,0.30578512396694213
